Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
It Happened One Night,1934,98,123578,"Capturing its stars and director at their finest,","In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her...",Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Roscoe Karns"
It's a Wonderful Life,1946,94,108941,"The holiday classic to define all holiday classics,","After George Bailey (James Stewart) wishes he had never been born, an angel (Henry Travers) is sent to earth to...",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
Jaws,1975,97,108923,"Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's","When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island,...",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
John Wick,2014,86,96419,"Stylish, thrilling, and giddily kinetic,",Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
Jurassic Park,1993,92,106112,,"In Steven Spielberg's massive blockbuster, paleontologists Alan Grant (Sam Neill) and Ellie Sattler (Laura Dern) and mathematician Ian Malcolm (Jeff...",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
King Kong,1933,97,115579,,Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots...,Merian C. Cooper,"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher"
L.A. Confidential,1997,99,110712,"Taut pacing, brilliantly dense writing and Oscar-worthy acting combine to produce a smart, popcorn-friendly thrill ride.","Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los...",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell"
L'Avventura,1960,94,100528,,"In Michelangelo Antonioni's classic of Italian cinema, two lovely young women, Claudia (Monica Vitti) and Anna (Léa Massari), join the...",Michelangelo Antonioni,"Monica Vitti, Gabriele Ferzetti, Lea Massari, Dominique Blanchar"
La Bamba,1987,83,90383,"Elevated by a perceptive performance by a perfectly cast Lou Diamond Phillips,","Los Angeles teenager Ritchie Valens (Lou Diamond Phillips) becomes an overnight rock 'n' roll success in 1958, thanks to a...",Luis Valdez,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña"
La Dolce Vita,1960,95,105504,"An epic, breathtakingly stylish cinematic landmark,","In Federico Fellini's lauded Italian film, restless reporter Marcello Rubini (Marcello Mastroianni) drifts through life in Rome. While Marcello contends...",Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Yvonne Furneaux, Anouk Aimée"
Lady Bird,2017,99,121327,,A teenager (Saoirse Ronan) navigates a loving but turbulent relationship with her strong-willed mother (Laurie Metcalf) over the course of...,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Timothée Chalamet, Lucas Hedges"
The Lady Eve,1941,99,114774,"A career highlight for Preston Sturges, The Lady Eve benefits from Barbara Stanwyck and Henry Fonda's sparkling chemistry -- and a script that inspired countless battle-of-the-sexes comedies.",It's no accident when wealthy Charles (Henry Fonda) falls for Jean (Barbara Stanwyck). Jean is a con artist with her...,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette"
Lawrence of Arabia,1962,94,110686,"The epic of all epics,","Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence (Peter O'Toole) is sent to Arabia to...",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Omar Sharif"
Let the Right One In,2008,98,105707,,"When Oskar (Kåre Hedebrant), a sensitive, bullied 12-year-old boy living with his mother in suburban Sweden, meets his new neighbor,...",Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl"
Lethal Weapon,1987,80,84708,"The most successful installment in a phenomenally successful series,","Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he...",Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitch Ryan"
Like Water for Chocolate,1992,88,91828,,"The youngest daughter in her family, the beautiful Tita (Lumi Cavazos) is forbidden to marry her true love, Pedro (Marco...",Alfonso Arau,"Lumi Cavazos, Marco Leonardi, Regina Torné, Mario Iván Martínez"
The Lion King,1994,92,102454,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King is a pride within Disney's pantheon of classic family films.","This Disney animated feature follows the adventures of the young lion Simba (Jonathan Taylor Thomas), the heir of his father,...",Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones, Madge Sinclair"
The Little Mermaid,1989,91,97735,,"In Disney's beguiling animated romp, rebellious 16-year-old mermaid Ariel (Jodi Benson) is fascinated with life on land. On one of...",Ron Clements,"Jodi Benson, Pat Carroll, Christopher Daniel Barnes, Rene Auberjonois"
Little Shop of Horrors,1986,91,96177,"Remixing Roger Corman's B-movie by way of the Off-Broadway musical,","Meek flower shop assistant Seymour (Rick Moranis) pines for co-worker Audrey (Ellen Greene). During a total eclipse, he discovers an...",Frank Oz,"Rick Moranis, Ellen Greene, Steve Martin, Vincent Gardenia"
Logan,2017,93,117017,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant"
The Lord of the Rings: The Fellowship of the Ring,2001,91,99647,"Full of eye-popping special effects, and featuring a pitch-perfect cast,","The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces...",Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen"
The Lord of the Rings: The Return of the King,2003,94,103945,"Visually breathtaking and emotionally powerful,",The culmination of nearly 10 years' work and conclusion to Peter Jackson's epic trilogy based on the timeless J.R.R. Tolkien...,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen"
The Lord of the Rings: The Two Towers,2002,95,104030,,"The sequel to the Golden Globe-nominated and AFI Award-winning ""The Lord of the Rings: The Fellowship of the Ring,"" ""The...",Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen"
Lost in Translation,2003,95,103306,"Effectively balancing humor and subtle pathos, Sofia Coppola crafts a moving, melancholy story that serves as a showcase for both Bill Murray and Scarlett Johansson.","A lonely, aging movie star named Bob Harris (Bill Murray) and a conflicted newlywed, Charlotte (Scarlett Johansson), meet in Tokyo....",Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris"
Love & Basketball,2000,85,89138,Confident directing and acting deliver an insightful look at young athletes.,"Monica (Sanaa Lathan) and Quincy (Omar Epps) are two childhood friends who both aspire to be professional basketball players. Quincy,...",Gina Prince-Bythewood,"Sanaa Lathan, Omar Epps, Alfre Woodard, Dennis Haysbert"
Mad Max: Fury Road,2015,97,118860,"With exhilarating action and a surprising amount of narrative heft,","Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When...",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
Malcolm X,1992,88,94645,"Anchored by a powerful performance from Denzel Washington, Spike Lee's biopic of legendary civil rights leader",A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his...,Spike Lee,"Denzel Washington, Angela Bassett, Albert Hall, Al Freeman Jr."
The Maltese Falcon,1941,99,115742,"Suspenseful, labyrinthine, and brilliantly cast, The Maltese Falcon is one of the most influential noirs -- as well as a showcase for Humphrey Bogart at his finest.","In this noir classic, detective Sam Spade (Humphrey Bogart) gets more than he bargained for when he takes a case...",John Huston,"Humphrey Bogart, Mary Astor, Peter Lorre, Gladys George"
The Manchurian Candidate,1962,97,104530,"A classic blend of satire and political thriller that was uncomfortably prescient in its own time, The Manchurian Candidate remains distressingly relevant today.","Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the...",John Frankenheimer,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury"
The Matrix,1999,83,93678,"Thanks to the Wachowskis' imaginative vision,","Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can...",Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Mean Girls,2004,84,91199,"Elevated by a brilliant screenplay and outstanding ensemble cast,",Teenage Cady Heron (Lindsay Lohan) was educated in Africa by her scientist parents. When her family moves to the suburbs...,Mark Waters,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows"
Metropolis,1927,97,112838,A visually awe-inspiring science fiction classic from the silent era.,This influential German science-fiction film presents a highly stylized futuristic city where a beautiful and cultured utopia exists above a...,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
Modern Times,1936,98,119252,"A slapstick skewering of industrialized America, Modern Times is as politically incisive as it is laugh-out-loud hilarious.",This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely...,Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
Monsoon Wedding,2001,95,99460,"An insightful, energetic blend of Hollywood and Bollywood styles, Monsoon Wedding is a colorful, exuberant celebration of modern-day India, family, love, and life.",The exuberant ensemble comedy unites a Punjabi family for the wedding of a family member. Relatives from all over the...,Mira Nair,"Naseeruddin Shah, Lillete Dubey"
Monty Python and the Holy Grail,1975,96,105748,"A cult classic as gut-bustingly hilarious as it is blithely ridiculous,",A comedic send-up of the grim circumstances of the Middle Ages as told through the story of King Arthur and...,Terry Gilliam,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle"
Moonlight,2016,98,117516,,"A look at three defining chapters in the life of Chiron, a young black man growing up in Miami. His...",Barry Jenkins,"Mahershala Ali, Alex R. Hibbert, Ashton Sanders, Trevante Rhodes"
Mulholland Dr.,2001,84,93715,David Lynch's dreamlike and mysterious,A dark-haired woman (Laura Elena Harring) is left amnesiac after a car crash. She wanders the streets of Los Angeles...,David Lynch,"Justin Theroux, Naomi Watts, Laura Harring, Ann Miller"
My Left Foot,1989,98,101621,No doubt most will come to,"No one expects much from Christy Brown (Daniel Day-Lewis), a boy with cerebral palsy born into a working-class Irish family....",Jim Sheridan,"Daniel Day-Lewis, Ray McAnally, Brenda Fricker, Ruth McCabe"
My Neighbor Totoro,1988,93,97926,,"This acclaimed animated tale by director Hayao Miyazaki follows schoolgirl Satsuke and her younger sister, Mei, as they settle into...",Hayao Miyazaki,"Elle Fanning, Dakota Fanning, Tim Daly, Lea Salonga"
Naked,1993,88,93385,,An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey....,Mike Leigh,"David Thewlis, Lesley Sharp, Katrin Cartlidge, Greg Cruttwell"
The Naked Gun,1988,86,90825,,"Frank Drebin (Leslie Nielsen), a rather clueless police detective, tries to foil a plot to turn innocent people into assassins...",David Zucker,"Leslie Nielsen, George Kennedy, Priscilla Presley, Ricardo Montalban"
Nashville,1975,89,97724,Robert Altman captures the bravado and cynicism of the American dream in,"In this acclaimed Robert Altman drama, the lives of numerous people in the Tennessee capital intersect in unpredictable ways. Delbert...",Robert Altman,"Keith Carradine, Lily Tomlin, Karen Black, David Arkin"
National Lampoon's Animal House,1978,91,96479,"The talents of director John Landis and Saturday Night Live's irrepressible John Belushi conspired to create a rambunctious, subversive college comedy that continues to resonate.","When they arrive at college, socially inept freshmen Larry (Thomas Hulce) and Kent (Stephen Furst) attempt to pledge the snooty...",John Landis,"John Belushi, Kevin Bacon, Donald Sutherland, Karen Allen"
Network,1976,91,100548,"Driven by populist fury and elevated by strong direction, powerful acting, and an intelligent script,","In this lauded satire, veteran news anchorman Howard Beale (Peter Finch) discovers that he's being put out to pasture, and...",Sidney Lumet,"Faye Dunaway, Peter Finch, William Holden, Robert Duvall"
The Night of the Hunter,1955,93,103535,"Featuring Robert Mitchum's formidable performance as a child-hunting preacher,",The Rev. Harry Powell (Robert Mitchum) is a religious fanatic and serial killer who targets women who use their sexuality...,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, Evelyn Varden"
Night of the Living Dead,1968,95,106030,"George A. Romero's debut set the template for the zombie film, and features tight editing, realistic gore, and a sly political undercurrent.",A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search...,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Keith Wayne"
A Nightmare on Elm Street,1984,95,99918,"Wes Craven's intelligent premise, combined with the horrifying visual appearance of Freddy Krueger, still causes nightmares to this day.","In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler...",Wes Craven,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss"
No Country for Old Men,2007,93,104715,"Bolstered by powerful lead performances from Javier Bardem, Josh Brolin, and Tommy Lee Jones,","While out hunting, Llewelyn Moss (Josh Brolin) finds the grisly aftermath of a drug deal. Though he knows better, he...",Joel Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
North by Northwest,1959,97,110889,"Gripping, suspenseful, and visually iconic, this late-period Hitchcock classic laid the groundwork for countless action thrillers to follow.",This classic suspense film finds New York City ad executive Roger O. Thornhill (Cary Grant) pursued by ruthless spy Phillip...,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Leo G. Carroll"
Notting Hill,1999,84,88980,"A rom-com with the right ingredients,",William Thacker (Hugh Grant) is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American...,Roger Michell,"Julia Roberts, Hugh Grant, Hugh Bonneville, Emma Chambers"
Oldboy,2003,83,88309,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han"
On the Waterfront,1954,99,113593,"With his electrifying performance in Elia Kazan's thought-provoking, expertly constructed melodrama, Marlon Brando redefined the possibilities of acting for film and helped permanently alter the cinematic landscape.",Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb)...,Elia Kazan,"Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb"
One Flew Over the Cuckoo's Nest,1975,93,107358,Jack Nicholson and Louise Fletcher are worthy adversaries in,"When Randle Patrick McMurphy (Jack Nicholson) gets transferred for evaluation from a prison farm to a mental institution, he assumes...",Milos Forman,"Jack Nicholson, Louise Fletcher, Brad Dourif, William Redfield"
Only Yesterday,1991,100,104902,,A put-upon 27-year-old Japanese office worker travels to the countryside and reminisces about her childhood in Tokyo and what life...,Isao Takahata,"Daisy Ridley, Dev Patel, Ashley Eckstein, Alison Fernandez"
Open City,1945,100,106056,,"Rome, 1944. Giorgio Manfredi, one of the leaders of the Resistance is tracked down by the Nazis. He goes to...",Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Maria Michi"
Pan's Labyrinth,2006,95,105079,,In 1944 Spain young Ofelia (Ivana Baquero) and her ailing mother (Ariadna Gil) arrive at the post of her mother's...,Guillermo del Toro,"Sergi López, Maribel Verdú, Ivana Baquero, Álex Angulo"
Pandora's Box,1929,93,100400,"Marked by GW Pabst's innovative, atmospheric direction and a surprisingly modern storyline, Pandora's Box ultimately owes its power to Louise Brooks' monumental, iconic performance.","In this acclaimed German silent film, Lulu (Louise Brooks) is a young woman so beautiful and alluring that few can...",Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz"
Parasite,2019,99,124747,"An urgent, brilliantly layered look at timely social themes,",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan....,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Jo Yeo-jeong, Choi Woo-sik"
The Passion of Joan of Arc,1928,98,106802,,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior....",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schultz"
Pather Panchali,1955,98,107999,"A film that requires and rewards patience in equal measure,","Impoverished priest Harihar Ray (Kanu Bannerjee), dreaming of a better life for himself and his family, leaves his rural Bengal...",Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Bannerjee, Uma Das Gupta"
The Philadelphia Story,1940,100,114633,"Offering a wonderfully witty script, spotless direction from George Cukor, and typically excellent lead performances,","This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K....",George Cukor,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey"
The Piano,1993,90,96556,"Powered by Holly Hunter's main performance,","After a long voyage from Scotland, pianist Ada McGrath (Holly Hunter) and her young daughter, Flora (Anna Paquin), are left...",Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin"
Pinocchio,1940,100,108327,"Ambitious, adventurous, and sometimes frightening,","When the woodworker Geppetto (Christian Rub) sees a falling star, he wishes that the puppet he just finished, Pinocchio (Dickie...",Ben Sharpsteen,"Don Brodie, Walter Catlett, Frankie Darro, Cliff Edwards"
Pitch Perfect,2012,82,89062,"Pitch Perfect's plot is formulaic, but the performances are excellent and the musical numbers are toe-tapping as well.","College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...",Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine"
The Player,1992,97,102813,"Bitingly cynical without succumbing to bitterness,","Certain that the anonymous threats he's been receiving are the work of David Kahane (Vincent D'Onofrio), producer Griffin Mill (Tim...",Robert Altman,"Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg"
Playtime,1967,98,104254,"A remarkable achievement,",Clumsy Monsieur Hulot (Jacques Tati) finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet...,Jacques Tati,"Jacques Tati, Barbara Dennek, Jacqueline Lecomte, Valérie Camille"
Portrait of a Lady on Fire,2019,97,114701,"A singularly rich period piece,",In 1770 the young daughter of a French countess develops a mutual attraction to the female artist commissioned to paint...,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
Pretty in Pink,1986,75,80406,"Molly Ringwald gives an outstanding performance in this sweet, intelligent teen comedy that takes an ancient premise and injects it with insight and wit.","Andie (Molly Ringwald) is an outcast at her Chicago high school, hanging out either with her older boss (Annie Potts),...",Howard Deutch,"Molly Ringwald, Jon Cryer, Andrew McCarthy, Annie Potts"
The Princess Bride,1987,96,103721,"A delightfully postmodern fairy tale,",A fairy tale adventure about a beautiful young woman and her one true love. He must find her after a...,Rob Reiner,"Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon"
Princess Mononoke,1997,93,101091,"With its epic story and breathtaking visuals,",A prince becomes involved in the struggle between a forest princess and the encroachment of mechanization....,Hayao Miyazaki,"Claire Danes, Billy Bob Thornton, Gillian Anderson, Billy Crudup"
Psycho,1960,97,112333,"Infamous for its shower scene, but immortal for its contribution to the horror genre. Because","Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away...",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
Pulp Fiction,1994,92,105914,"Injecting its compendium of crime tales with the patois of everyday conversation,",Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson) are hitmen with a penchant for philosophical discussions. In this...,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Harvey Keitel"
Rafiki,2018,94,97676,,Kena and Ziki live very different lives in Nairobi. Kena works in her father's shop and awaits the start of...,Wanuri Kahiu,"Samantha Mugatsia, Sheila Munyiva, Jimmi Gathu, Nini Wacera"
Raging Bull,1980,92,108505,"Arguably Martin Scorsese's and Robert De Niro's finest film, Raging Bull is often painful to watch, but it's a searing, powerful work about an unsympathetic hero.",The story of a middleweight boxer as he rises through ranks to earn his first shot at the middleweight crown....,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent"
Raiders of the Lost Ark,1981,93,108455,"Featuring bravura set pieces, sly humor, and white-knuckle action,","Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the...",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Rashomon,1950,98,106589,"One of legendary director Akira Kurosawa's most acclaimed films, Rashomon features an innovative narrative structure, brilliant acting, and a thoughtful exploration of reality versus perception.","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the...",Akira Kurosawa,"Toshiro Mifune, Machiko Kyō, Takashi Shimura, Masayuki Mori"
Rear Window,1954,98,114475,Hitchcock exerted full potential of suspense in this masterpiece.,A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what...,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Raymond Burr"
The Red Shoes,1948,99,109413,,"In this classic drama, Vicky Page (Moira Shearer) is an aspiring ballerina torn between her dedication to dance and her...",Michael Powell,"Moira Shearer, Anton Walbrook, Marius Goring, Robert Helpmann"
Repo Man,1984,98,102305,"Repo Man is many things: an alien-invasion film, a punk-rock musical, a send-up of consumerism. One thing it isn't is boring.","After being fired from his job, Los Angeles slacker and punk rocker Otto (Emilio Estevez) lands a gig working for...",Alex Cox,"Emilio Estevez, Harry Dean Stanton, Tracey Walter, Olivia Barash"
Requiem for a Dream,2000,78,83219,"Though the movie may be too intense for some to stomach, the wonderful performances and the bleak imagery are hard to forget.","Imaginatively evoking the inner landscape of human beings longing to connect, to love and feel loved, the film is a...",Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
RoboCop,1987,92,99887,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the...",Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Dan O'Herlihy"
Rocky,1976,92,101409,"This story of a down-on-his-luck boxer is thoroughly predictable, but Sylvester Stallone's script and stunning performance in the title role brush aside complaints.","Rocky Balboa (Sylvester Stallone), a small-time boxer from working-class Philadelphia, is arbitrarily chosen to take on the reigning world heavyweight...",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young"
Roman Holiday,1953,95,103444,"With Audrey Hepburn luminous in her American debut, Roman Holiday is as funny as it is beautiful, and sets the standard for the modern romantic comedy.","Overwhelmed by her suffocating schedule, touring European princess Ann (Audrey Hepburn) takes off for a night while in Rome. When...",William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert, Tullio Carminati"
Rosemary's Baby,1968,96,107030,A frightening tale of Satanism and pregnancy that is even more disturbing than it sounds thanks to convincing and committed performances by Mia Farrow and Ruth Gordon.,A young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and...,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer"
The Rules of the Game,1939,97,104530,"Its genius escaped many viewers at the time, but in retrospect,","André is having an affair with Christine, whose husband Robert is himself hiding a mistress. Christine's married maid is romantically...",Jean Renoir,"Marcel Dalio, Nora Gregor, Mila Parély, Roland Toutain"
Saving Face,2004,88,90370,A charming tale of a love affair that overcomes cultural taboos.,"Wil (Michelle Krusiec) is a lesbian, but she not dare tell her widowed mother, Hwei-lan (Joan Chen), or her very...",Alice Wu,"Michelle Krusiec, Joan Chen, Lynn Chen, Jessica Hecht"
Saving Private Ryan,1998,94,103210,"Anchored by another winning performance from Tom Hanks, Steven Spielberg's unflinchingly realistic war film virtually redefines the genre.","Captain John Miller (Tom Hanks) takes his men behind enemy lines to find Private James Ryan, whose three brothers have...",Steven Spielberg,"Tom Hanks, Edward Burns, Tom Sizemore, Jeremy Davies"
Say Anything...,1989,98,102054,"One of the definitive Generation X movies,","In a charming, critically acclaimed tale of first love, Lloyd (John Cusack), an eternal optimist, seeks to capture the heart...",Cameron Crowe,"John Cusack, Ione Skye, John Mahoney, Lili Taylor"
Scarface,1983,79,86848,"Director Brian De Palma and star Al Pacino take it to the limit in this stylized, ultra-violent and eminently quotable gangster epic that walks a thin white line between moral drama and celebratory excess.","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana (Al Pacino) stakes a claim...",Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
Schindler's List,1993,98,111580,,"Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which...",Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall"
Scream,1996,81,86964,"Horror icon Wes Craven's subversive deconstruction of the genre is sly, witty, and surprisingly effective as a slasher film itself, even if it's a little too cheeky for some.",The sleepy little town of Woodsboro just woke up screaming. There's a killer in their midst who's seen a few...,Wes Craven,"Neve Campbell, David Arquette, Courteney Cox, Matthew Lillard"
The Sea Inside,2004,85,88979,"Held aloft by a transfixing performance from Javier Bardem as a terminally ill man who chooses to die,",Ramón Sampedro (Javier Bardem) is a Spanish ship mechanic and part-time poet who is left a quadriplegic after a diving...,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera"
The Searchers,1956,87,102399,,"In this revered Western, Ethan Edwards (John Wayne) returns home to Texas after the Civil War. When members of his...",John Ford,"John Wayne, Jeffrey Hunter, Natalie Wood, Vera Miles"
Selma,2014,99,114109,"Fueled by a gripping performance from David Oyelowo,","Although the Civil Rights Act of 1964 legally desegregated the South, discrimination was still rampant in certain areas, making it...",Ava DuVernay,"David Oyelowo, Tom Wilkinson, Carmen Ejogo, Giovanni Ribisi"
Seven,1995,83,94208,"A brutal, relentlessly grimy shocker with taut performances, slick gore effects, and a haunting finale.",When retiring police Detective William Somerset (Morgan Freeman) tackles a final case with the aid of newly transferred David Mills...,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, R. Lee Ermey"
Seven Samurai,1954,100,112039,"Arguably Akira Kurosawa's masterpiece, The Seven Samurai is an epic adventure classic with an engrossing story, memorable characters, and stunning action sequences that make it one of the most influential films ever made.","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits,...",Akira Kurosawa,"Toshiro Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi"
The Seventh Seal,1957,93,103393,"Narratively bold and visually striking,",When disillusioned Swedish knight Antonius Block (Max von Sydow) returns home from the Crusades to find his country in the...,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Nils Poppe, Bibi Andersson"
Shaft,1971,88,93296,"This is the man that would risk his neck for his brother, man. Can you dig it?","John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),...",Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
Shaun of the Dead,2004,92,99199,,"Shaun is a 30-something loser with a dull, easy existence. When he's not working at the electronics store, he lives...",Edgar Wright,"Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost"
The Shawshank Redemption,1994,89,99500,"Steeped in old-fashioned storytelling and given evergreen humanity by Morgan Freeman and Tim Robbins,",Andy Dufresne (Tim Robbins) is sentenced to two consecutive life terms in prison for the murders of his wife and...,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
